School,O eFG%,O TO%,O OR%,O FT/FGA
Abilene Christian,0.494,17.7,31.3,0.268
Air Force,0.505,18.1,23.3,0.23
Akron,0.551,14.7,32.5,0.184
Alabama,0.564,14.8,36.2,0.3
Alabama A&M,0.474,17.9,36.3,0.249
Alabama State,0.476,11.2,29.0,0.209
Albany (NY),0.495,13.4,32.3,0.215
Alcorn State,0.454,17.0,33.6,0.222
American,0.515,15.2,25.1,0.239
Appalachian State,0.516,14.4,27.4,0.231
Arizona,0.528,14.4,36.7,0.274
Arizona State,0.519,16.6,25.9,0.253
Arkansas,0.529,14.4,27.3,0.243
Arkansas State,0.499,12.8,33.1,0.234
Arkansas-Pine Bluff,0.513,17.7,26.7,0.188
Army,0.522,13.1,27.8,0.168
Auburn,0.554,11.2,35.7,0.24
Austin Peay,0.487,12.9,26.8,0.211
Ball State,0.528,15.0,28.3,0.345
Baylor,0.525,13.8,36.1,0.234
Bellarmine,0.549,16.0,21.6,0.201
Belmont,0.556,13.5,27.3,0.191
Bethune-Cookman,0.485,17.4,28.6,0.244
Binghamton,0.533,17.8,27.7,0.23
Boise State,0.536,14.8,32.9,0.301
Boston College,0.494,15.2,29.1,0.226
Boston University,0.508,17.6,32.7,0.195
Bowling Green State,0.508,14.9,27.2,0.256
Bradley,0.574,15.6,27.4,0.238
Brigham Young,0.574,14.8,33.7,0.202
Brown,0.53,14.7,30.4,0.181
Bryant,0.519,13.6,34.3,0.211
Bucknell,0.533,17.0,25.6,0.24
Buffalo,0.487,17.6,24.1,0.248
Butler,0.539,15.2,27.0,0.301
Cal Poly,0.543,18.8,28.1,0.211
Cal State Bakersfield,0.496,15.8,36.7,0.274
Cal State Fullerton,0.453,18.8,28.1,0.314
Cal State Northridge,0.523,16.1,36.3,0.251
California,0.482,14.1,35.0,0.286
California Baptist,0.49,14.4,33.3,0.224
Campbell,0.51,13.9,25.1,0.242
Canisius,0.519,17.1,18.4,0.183
Central Arkansas,0.479,15.4,30.5,0.198
Central Connecticut State,0.54,14.7,27.7,0.189
Central Michigan,0.52,15.3,32.2,0.257
Charleston Southern,0.492,16.4,31.8,0.306
